"ყველა დასახელება","აქტუალური ქვეყნების დასახელება"
"ვირჯინის კუნძულები, აშშ","ვირჯინიის კუნძულები, ა.შ.შ."
"ვირჯინის კუნძულები","ვირჯინიის კუნძულები, ა.შ.შ."
"ავსტრალია","ავსტრალია"
"მარშალის კუნძულები","მარშალის კუნძულები"
"ამერიკის სამოა","ამერიკის სამოა"
"ეშმორისა და კარტიეს კუნძულები","ეშმორისა და კარტიეს კუნძულები"
"ბეიკერი","ბეიკერი"
"შობის კუნძული","შობის კუნძული"
"ქოქოსის კუნძული","ქოქოსის კუნძული"
"კუკის კუნზულები","კუკის კუნძულები"
"მარჯნის კუნძულები","მარჯნის კუნძულები"
"ფიჯი","ფიჯი"
"საფრანგეთის პოლინეზია","საფრანგეთის პოლინეზია"
"გუამი","გუამი"
"ჰოულენდი","ჰოულენდი"
"კირიბატი","კირიბატი"
"მიკრონეზია","მიკრონეზია"
"ნაურუ","ნაურუ"
"ახალი კალედონია","ახალი კალედონია"
"ახალი ზელანდია","ახალი ზელანდია"
"ნიუე","ნიუე"
"ნორფოლკი","ნორფოლკი"
"ჩრდ. მარიანას კუნძულები","ჩრდ. მარიანას კუნძულები"
"პალაუ","პალაუ"
"პალმირა ატოლი","პალმირა ატოლი"
"სოლომონის კუნძულები","სოლომონის კუნძულები"
"ტოკელაუ","ტოკელაუ"
"ტონგა","ტონგა"
"ტუვალუ","ტუვალუ"
"ვანუატუ","ვანუატუ"
"უეიკის კუნძული","უეიკის კუნძული"
"ჩინეთი","ჩინეთი"
"ჰონგკონგი, ჩინეთის სახალხო რესპუბლიკა","ჰონგ-კონგი"
"ჰონ-კონგი","ჰონგ-კონგი"
"ინდოეთი","ინდოეთი"
"იაპონია","იაპონია"
"სამხრეთ კორეა","სამხრეთ კორეა"
"კორეის რესპუბლიკა","სამხრეთ კორეა"
"კორეა, რესპუბლიკა","სამხრეთ კორეა"
"ფილიპინები","ფილიპინები"
"ბრუნეი დარუსალამი","ბრუნეი"
"ბრუნეი","ბრუნეი"
"ბურმა","ბურმა"
"კამბოჯა","კამბოჯა"
"ინდონეზია","ინდონეზია"
"ჩრდილოეთ კორეა","ჩრდილოეთ კორეა"
"კორეა, სახალხო დემოკრატიული რესპუბლიკა","ჩრდილოეთ კორეა"
"ჩრდ. კორეა","ჩრდილოეთ კორეა"
"ლაოსი","ლაოსი"
"მაკაუ","მაკაუ"
"მალაიზია","მალაიზია"
"მონღოლეთი","მონღოლეთი"
"პაპუა ახალი გვინეა","პაპუა ახალი გვინეა"
"სინგაპური","სინგაპური"
"სპრატლის კუნძულები","სპრატლის კუნძულები"
"ტაივანი (ჩინეთის პროვინცია)","ტაივანი, ჩინეთის პროვინცია"
"ტაივანი, ჩინეთის პროვინცია","ტაივანი, ჩინეთის პროვინცია"
"ტაილანდი","ტაილანდი"
"ტიმორ ლესტე","ტიმორ ლესტე"
"ვიეტნამი","ვიეტნამი"
"ავღანეთი","ავღანეთი"
"ბანგლადეში","ბანგლადეში"
"ბუტანი","ბუტანი"
"ბრიტანეთის ტერიტორია ინდოეთის ოკენაეში","ბრიტანეთის ტერიტორია ინდოეთის ოკენაეში"
"მალდივი","მალდივები"
"მალდივები","მალდივები"
"ნეპალი","ნეპალი"
"პაკისტანი","პაკისტანი"
"შრი-ლანკა","შრი-ლანკა"
"შრილანკა","შრი-ლანკა"
"ეგვიპტე","ეგვიპტე"
"ლიბია","ლიბია"
"მავრიკი","მავრიკი"
"სეიშელის კუნძულები","სეიშელის კუნძულები"
"სეიშელები","სეიშელის კუნძულები"
"ალჟირი","ალჟირი"
"ანგოლა","ანგოლა"
"ბენინი","ბენინი"
"ბოტსვანა","ბოტსვანა"
"ბურკინა-ფასო","ბურკინა-ფასო"
"ბურუნდი","ბურუნდი"
"კაბო-ვერდე","კაბო-ვერდე"
"კაბო ვერდე","კაბო-ვერდე"
"კამერუნი","კამერუნი"
"ცენტრალური აფრიკის რესპუბლიკა","ცენტრალური აფრიკის რესპუბლიკა"
"ცენტრალური აფრიკა","ცენტრალური აფრიკის რესპუბლიკა"
"ცენტ. აფრიკის რესპუბლიკა","ცენტრალური აფრიკის რესპუბლიკა"
"ჩადი","ჩადი"
"კომორის კუნძულები","კომორის კუნძულები"
"კომორი","კომორის კუნძულები"
"კონგოს დემოკრატიული რესპუბლიკა","კონგოს დემოკრატიული რესპუბლიკა"
"კონგო","კონგო"
"კოტ-დივუარი","კოტ-დივუარი"
"ჯიბუტი","ჯიბუტი"
"ეკვატორული გვინეა","ეკვატორული გვინეა"
"ერიტრეა","ერიტრეა"
"ესვატინი","ესვატინი"
"ეთიოპია","ეთიოპია"
"გაბონი","გაბონი"
"გამბია","გამბია"
"განა","განა"
"გვინეა","გვინეა"
"გვინეა-ბისაუ","გვინეა-ბისაუ"
"გვინეა ბისაუ","გვინეა-ბისაუ"
"კენია","კენია"
"ლესოტო","ლესოტო"
"ლიბერია","ლიბერია"
"მადაგასკარი","მადაგასკარი"
"მალავი","მალავი"
"მალი","მალი"
"მაურიტიუსი","მაურიტიუსი"
"მაროკო","მაროკო"
"მოზამბიკი","მოზამბიკი"
"ნამიბია","ნამიბია"
"ნიგერი","ნიგერი"
"ნიგერია","ნიგერია"
"რუანდა","რუანდა"
"სენტ-ჰელენა","სენტ-ჰელენა"
"სან-ტომე და პრინსიპი","სან-ტომე და პრინსიპი"
"სენეგალი","სენეგალი"
"სიერა-ლეონე","სიერა-ლეონე"
"სიერა ლეონე","სიერა-ლეონე"
"სომალი","სომალი"
"სამხრეთ აფრიკა","სამხრეთ აფრიკა"
"სამხრეთი აფრიკა","სამხრეთ აფრიკა"
"სმხ. სუდანი","სამხრეთ სუდანი"
"სუდანი","სუდანი"
"ტანზანია","ტანზანია"
"ტოგო","ტოგო"
"ტუნისი","ტუნისი"
"უგანდა","უგანდა"
"ზამბია","ზამბია"
"ზიმბაბვე","ზიმბაბვე"
"ირანი","ირანი"
"საუდების არაბეთი","საუდის არაბეთი"
"ისრაელი","ისრაელი"
"ლიბანი","ლიბანი"
"იორდანია","იორდანია"
"კატარი","კატარი"
"ყატარი","კატარი"
"სირია","სირია"
"ერაყი","ერაყი"
"ბაჰრეინი","ბაჰრეინი"
"თურქეთი","თურქეთი"
"პალესტინა","პალესტინა"
"იემენი","იემენი"
"არაბთა გაერთიანებული საემიროები","არაბთა გაერთიანებული საამიროები"
"არაბთა გაერთიანებული საამიროები","არაბთა გაერთიანებული საამიროები"
"ქუვეითი","ქუვეითი"
"ომანი","ომანი"
"არგენტინა","არგენტინა"
"ბოლივია","ბოლივია"
"ბრაზილია","ბრაზილია"
"ჩილე","ჩილე"
"კოლუმბია","კოლომბია"
"ეკვადორი","ეკვადორი"
"ფოლკლენდის კუნძულები","ფოლკლენდის კუნძულები"
"საფრანგეთის გვიანა","ფრანგული გაიანა"
"ფრანგული გაიანა","ფრანგული გაიანა"
"გაიანა","გაიანა"
"პარაგვაი","პარაგვაი"
"პერუ","პერუ"
"სურინამი","სურინამი"
"ურუგვაი","ურუგვაი"
"ვენესუელა","ვენესუელა"
"კანადა","კანადა"
"ამერიკის შეერთებული შტატები","აშშ"
"აშშ","აშშ"
"მექსიკა","მექსიკა"
"ალბანეთი","ალბანეთი"
"გიბრალტარი","გიბრალტარი"
"ბოსნია და ჰერცეგოვინა","ბოსნია და ჰერცეგოვინა"
"ჩრდილოეთ მაკედონია","ჩრდილოეთ მაკედონია"
"მაკედონია","ჩრდილოეთ მაკედონია"
"ისლანდია","ისლანდია"
"მონაკო","მონაკო"
"მონტენეგრო","მონტენეგრო"
"ნორვეგია","ნორვეგია"
"სერბეთი","სერბეთი"
"შვეიცარია","შვეიცარია"
"გაერთიანებული სამეფო","გაერთიანებული სამეფო"
"ანდორა","ანდორა"
"ვატიკანი","ვატიკანი"
"გერნზი","გერნზი"
"სან-მარინო","სან-მარინო"
"სან მარინო","სან-მარინო"
"ლიხტენშტაინი","ლიხტენშტაინი"
"ლიხტენშტეინი","ლიხტენშტაინი"
"ანგილია","ანგილია"
"სენტ კრისტოფერი და ნევის","სენტ კრისტოფერი და ნევის"
"ველისი და ფუტუნა","ველისი და ფუტუნა"
"სამოა","სამოა"
"მიანმარი","მიანმარი"
"მაიოტა","მაიოტა"
"რეუნიონი","რეუნიონი"
"რეიუნიონი","რეუნიონი"
"მავრიტანია","მავრიტანია"
"სვაზილენდი","სვაზილენდი"
"ჩრდილოეთ მარიანას კუნძულები","ჩრდილოეთ მარიანას კუნძულები"
"ნიდერლანდების ანტილები","ნიდერლანდების ანტილები"
"საფრანგეთის სამხრეთი ტერიტორიები","საფრანგეთის სამხრეთი ტერიტორიები"
"ფოლკლენდის (მალვინის) კუნძულები","ფოლკლენდის კუნძულები"
"ფარერის კუნძულები","ფარერის კუნძულები"
"ტიმორ-ლესტე","ტიმორ ლესტე"
"გრენლანდია","გრენლანდია"
"მარშალის კ-ები","მარშალის კუნძულები"
"ვირჯინის კ-ები (ბრიტ.)","ვირჯინიის კუნძულები, დიდი ბრიტანეთი"
"კაიმანის კ-ბი","კაიმანის კუნძულები"
"კორეა","სამხრეთ კორეა"
"კოლომბია","კოლომბია"
"კუკის კუნძულები","კუკის კუნძულები"
"ბოსნია-ჰერცეგოვინა","ბოსნია და ჰერცეგოვინა"
"კოტ-დ'ივუარი","კოტ-დივუარი"
"საუდის არაბეთი","საუდის არაბეთი"
"სენტ-კიტს და ნევისი","სენტკიტს-ნევისი"
"ჰონკონგი (სიანგანი)","ჰონგ-კონგი"
"არაბთა გაერთიანებული ემირატები","არაბთა გაერთიანებული საამიროები"
